102	25	32	800	1012
1	1
3	1
5	1
7	1
9	1
11	1
13	1
15	1
17	1
2	2
4	2
6	2
8	2
10	2
12	2
14	2
16	2
1	3
3	3
5	3
7	3
9	3
11	3
13	3
15	3
17	3
2	4
4	4
6	4
8	4
10	4
12	4
14	4
16	4
1	5
3	5
5	5
7	5
9	5
11	5
13	5
15	5
17	5
2	6
4	6
6	6
8	6
10	6
12	6
14	6
16	6
1	7
3	7
5	7
7	7
9	7
11	7
13	7
15	7
17	7
2	8
4	8
6	8
8	8
10	8
12	8
14	8
16	8
1	9
3	9
5	9
7	9
9	9
11	9
13	9
15	9
17	9
2	10
4	10
6	10
8	10
10	10
12	10
14	10
16	10
1	11
3	11
5	11
7	11
9	11
11	11
13	11
15	11
17	11
2	12
4	12
6	12
8	12
10	12
12	12
14	12
16	12
